央视频道,#genre#
CCTV-1 综合（50帧）,http://gzcyl001.3322.org:8081/hls/1/index.m3u8
CCTV-2 财经（50帧）,http://gzcyl001.3322.org:8081/hls/2/index.m3u8
CCTV-3 综艺（50帧）,http://gzcyl001.3322.org:8081/hls/3/index.m3u8
CCTV-4 中文国际（50帧）,http://gzcyl001.3322.org:8081/hls/4/index.m3u8
CCTV-5 体育（50帧）,http://gzcyl001.3322.org:8081/hls/5/index.m3u8
CCTV-5+ 体育赛事（50帧）,http://gzcyl001.3322.org:8081/hls/18/index.m3u8
CCTV-6 电影（50帧）,http://gzcyl001.3322.org:8081/hls/6/index.m3u8
CCTV-7 国防军事（50帧）,http://gzcyl001.3322.org:8081/hls/7/index.m3u8
CCTV-8 电视剧（50帧）,http://gzcyl001.3322.org:8081/hls/8/index.m3u8
CCTV-9 纪录（50帧）,http://gzcyl001.3322.org:8081/hls/9/index.m3u8
CCTV-10 科教（50帧）,http://gzcyl001.3322.org:8081/hls/10/index.m3u8
CCTV-11 戏曲（50帧）,http://gzcyl001.3322.org:8081/hls/11/index.m3u8
CCTV-12 社会与法（50帧）,http://gzcyl001.3322.org:8081/hls/12/index.m3u8
CCTV-13 新闻（50帧）,http://gzcyl001.3322.org:8081/hls/13/index.m3u8
CCTV-14 少儿（50帧）,http://gzcyl001.3322.org:8081/hls/14/index.m3u8
CCTV-15 音乐（50帧）,http://gzcyl001.3322.org:8081/hls/15/index.m3u8
CCTV-16 奥林匹克（50帧）,http://gzcyl001.3322.org:8081/hls/16/index.m3u8
CCTV-17 农业农村（50帧）,http://gzcyl001.3322.org:8081/hls/17/index.m3u8
CHC动作电影（50帧）,http://ojbk.02200059.xyz:4022/udp/226.1.30.180:6000
CHC家庭影院（50帧）,http://nas.0731wang.com:14022/udp/239.76.245.241:1234
CHC影迷电影（50帧）,http://ojbk.02200059.xyz:4022/udp/226.1.30.181:6000
CCTV-4K 超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k
兵器科技,http://nas.0731wang.com:14022/udp/239.76.247.59:1234
怀旧剧场,http://nas.0731wang.com:14022/udp/239.76.247.53:1234
世界地理,http://nas.0731wang.com:14022/udp/239.76.247.57:1234
文化精品,http://nas.0731wang.com:14022/udp/239.76.254.56:9000
央视台球,http://ojbk.02200059.xyz:4022/udp/226.1.30.225:6000
央视高网,http://nas.0731wang.com:14022/udp/239.76.254.62:9000
风云剧场,http://nas.0731wang.com:14022/udp/239.76.254.50:9000
风云音乐,http://ojbk.02200059.xyz:4022/udp/226.1.30.154:6000
女性时尚,http://nas.0731wang.com:14022/udp/239.76.254.55:9000
风云足球,http://nas.0731wang.com:14022/udp/239.76.247.52:1234
电视指南,http://nas.0731wang.com:14022/udp/239.76.254.61:9000

4K&8K系列,#genre#
亲子趣学4k,http://wasky.iask.in:9100/udp/239.93.1.191:5140
中录动漫4K,http://wasky.iask.in:9100/udp/239.93.1.188:5140
绚影4K,http://iptv.028028.xyz:8/rtp/239.93.42.33:5140
欢笑剧场4K,http://ssrs2004.win:8888/rtp/239.111.205.1:5140
BesTv 4K电影,http://tx191.tpddns.cn:4022/udp/239.45.3.107:5140
百事通4K电影,http://tx191.tpddns.cn:4022/rtp/239.45.1.42:5140
百事通4K纪实,http://tx191.tpddns.cn:4022/rtp/239.45.1.10:5140
百事通4K儿童,http://tx191.tpddns.cn:4022/rtp/239.45.1.1:5140
百事通4K测试（5.1环绕声）,http://iptv.028028.xyz:8/udp/239.93.42.75:5140
北京纪实科教8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
「轮播」搜狐4K,http://www.liam008.top:4022/rtp/225.1.2.190:5002
爱上4K,http://paofan.boyi56.cn:4022/rtp/239.3.1.236:2000
Love Nrture 4K「自然」,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

数字频道,#genre#
iHOT爱悬疑,http://iptv.028028.xyz:8/udp/239.93.42.12:5140
iHOT爱怀旧,http://wasky.iask.in:9100/udp/239.93.42.21:5140
iHOT爱经典,http://wasky.iask.in:9100/udp/239.93.42.13:5140
iHOT爱青春,http://wasky.iask.in:9100/udp/239.93.42.16:5140
iHOT爱谍战,http://iptv.028028.xyz:8/udp/239.93.42.14:5140
iHOT爱动漫,http://iptv.028028.xyz:8/udp/239.93.42.23:5140
iHOT爱科幻,http://iptv.028028.xyz:8/udp/239.93.42.10:5140
iHOT爱奇谈,http://iptv.028028.xyz:8/udp/239.93.42.22:5140
iHOT爱喜剧,http://iptv.028028.xyz:8/udp/239.93.42.9:5140
iHOT爱幼教,http://iptv.028028.xyz:8/udp/239.93.42.17:5140
iHOT爱院线,http://iptv.028028.xyz:8/udp/239.93.42.11:5140
iHOT爱赛车,http://iptv.028028.xyz:8/udp/239.93.42.20:5140
iHOT爱玩具,http://iptv.028028.xyz:8/udp/239.93.42.18:5140
NewTv黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
NewTv黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTv五星体育,http://tx191.tpddns.cn:4022/udp/239.45.3.210:5140
NewTv超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTv怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTv农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTv超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTv动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTv精彩影视,http://ojbk.02200059.xyz:4022/udp/226.1.30.194:6000
NewTv超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTv海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTv超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTv武博世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTv中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTv军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTv炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTv潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTv精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTv精品纪录,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTv家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTv精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTv军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTv明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTv东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTv欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTv古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTv金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTv惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索记录,http://iptv.028028.xyz:8/rtp/239.93.42.24:5140
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8

卫视频道,#genre#
四川卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/2300.m3u8
天津卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel28/1300.m3u8
安徽卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/1300.m3u8
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
广西卫视,http://gzcyl001.3322.org:8081/hls/52/index.m3u8
江西卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel22/1300.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel17/1300.m3u8
广东卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel16/1300.m3u8
湖北卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel21/2300.m3u8
山西卫视,http://istore4.qnas.net:8889/udp/226.0.2.152:9128&山西ip
海峡卫视,http://prettyalan.vicp.cc:8888/udp/239.61.5.45:1025
东南卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel80/1300.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u83
辽宁卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel32/1300.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
陕西卫视,http://tiger81.i234.me:8888/rtp/239.111.205.35:5140
甘肃卫视,http://wasky.iask.in:9100/udp/239.93.0.81:5140
吉林卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel20/1300.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
